OID,EFF_DATE,SITE_NO,SITE_TYPE_CODE,STATE_CODE,ARPT_ID,ARPT_NAME,CITY,COUNTRY_CODE,OWNERSHIP_TYPE_CODE,FACILITY_USE_CODE,RWY_ID,LAT1_DECIMAL,LONG1_DECIMAL,LAT2_DECIMAL,LONG2_DECIMAL,RWY_LEN,RWY_WIDTH,SURFACE_TYPE_CODE,COND,TREATMENT_CODE,PCN,PAVEMENT_TYPE_CODE,SUBGRADE_STRENGTH_CODE,TIRE_PRES_CODE,DTRM_METHOD_CODE,RWY_LGT_CODE,RWY_LEN_SOURCE,LENGTH_SOURCE_DATE,GROSS_WT_SW,GROSS_WT_DW,GROSS_WT_DTW,GROSS_WT_DDTW,Shape__Area,Shape__Length
1,2025/07/10,00103.,A,AL,0J0,ABBEVILLE MUNI,ABBEVILLE,US,PU,PU,18/36,31.60852777,-85.23964722,31.59491388,-85.23744166,5000,75,ASPH,FAIR,AFSC,,,,,,MED,ARPTS CONTRACTOR,2002/02/20,,,,,48170.55859375,3646.0519410567
2,2025/07/10,00106.,A,AL,2A8,ADDISON MUNI,ADDISON,US,PU,PU,05/23,34.21475,-87.16145,34.21953333,-87.15486666,2644,112,TURF,GOOD,NONE,,,,,,,OWNER,2011/08/08,,,,,40336.62109375,2033.82513944325
3,2025/07/10,00110.,A,AL,EET,SHELBY COUNTY,ALABASTER,US,PU,PU,16/34,33.18411386,-86.78637688,33.17144422,-86.78004994,5000,75,ASPH,FAIR,NONE,,,,,,MED,STATE,2006/06/13,16,,,,49867.64453125,3707.31845097496
4,2025/07/10,00112.1,A,AL,BFZ,ALBERTVILLE RGNL/THOMAS J BRUMLIK FLD,ALBERTVILLE,US,PU,PU,05/23,34.22352413,-86.26330863,34.2346935,-86.24820202,6114,100,ASPH,GOOD,GRVD,,,,,,MED,3RD PARTY SURVEY,2007/10/27,60,90,130,,83292.8203125,4585.83503588123
5,2025/07/10,00116.,A,AL,ALX,THOMAS C RUSSELL FLD,ALEXANDER CITY,US,PU,PU,18/36,32.92218647,-85.9633335,32.90730061,-85.9625708,5422,96,ASPH,FAIR,GRVD,,,,,,MED,3RD PARTY SURVEY,2010/01/19,30,,,,68799.78125,4021.18084130708
6,2025/07/10,00119.,A,AL,AIV,GEORGE DOWNER,ALICEVILLE,US,PU,PU,06/24,33.10348055,-88.20436111,33.11000833,-88.18998888,5001,80,ASPH,GOOD,NONE,,,,,,MED,NACO,2004/10/15,,,,,53119.640625,3698.30550770881
7,2025/07/10,00124.,A,AL,79J,SOUTH ALABAMA RGNL AT BILL BENTON FLD,ANDALUSIA,US,PU,PU,11/29,31.31071491,-86.40143094,31.30598988,-86.38302591,6000,100,ASPH,GOOD,NONE,,,,,,MED,NGS,2010/04/14,98,160,275,,76595.6640625,4350.27347414525
8,2025/07/10,00128.,A,AL,ANB,ANNISTON RGNL,ANNISTON,US,PU,PU,05/23,33.58179016,-85.86671608,33.59454638,-85.84951163,7000,150,ASPH,EXCELLENT,GRVD,10,F,C,X,T,HIGH,NGS,2006/08/06,28,43.5,260,,140940.6953125,5237.79292432373
9,2025/07/10,00133.5,A,AL,51AL,ARDMORE,ARDMORE,US,PR,PR,01/19,34.97543736,-86.88417186,34.98271222,-86.88239777,2700,100,TURF,FAIR,NONE,,,,,,,OWNER,2025/02/21,,,,,37459.28515625,2090.14944939092
10,2025/07/10,00135.,A,AL,26A,ASHLAND/LINEVILLE,ASHLAND/LINEVILLE,US,PU,PU,09/27,33.28419722,-85.81554722,33.28419722,-85.80238333,4023,80,ASPH,GOOD,NONE,,,,,,MED,ADO,2012/08/23,20,,,,42902.15625,2989.34870159329
11,2025/07/10,00139.01,A,AL,56AL,BEECHWOOD AIRPARK,ATHENS,US,PR,PR,18/36,34.77638888,-87.17472222,34.76916666,-87.17444444,2630,60,TURF-DIRT,,NONE,,,,,,,OWNER,2023/09/05,,,,,21778.25,2002.97779327312
12,2025/07/10,00140.1,A,AL,0R1,ATMORE MUNI,ATMORE,US,PU,PU,18/36,31.02302386,-87.4467778,31.00927461,-87.44673266,5001,80,ASPH,GOOD,NONE,,,,,,MED,3RD PARTY SURVEY,2016/09/27,16,,,,50767.78125,3628.67656848283
13,2025/07/10,00146.,A,AL,AUO,AUBURN UNIVERSITY RGNL,AUBURN,US,PU,PU,11/29,32.61958108,-85.4373513,32.61630966,-85.42495,4000,75,ASPH,GOOD,NONE,,,,,,MED,3RD PARTY SURVEY,2006/05/22,25,42,,,39395.0078125,2947.72323858115
14,2025/07/10,00146.,A,AL,AUO,AUBURN UNIVERSITY RGNL,AUBURN,US,PU,PU,18/36,32.6202013,-85.43603569,32.60573677,-85.43634563,5264,100,ASPH,GOOD,GRVD,,,,,,HIGH,3RD PARTY SURVEY,2006/05/22,45,75,,,69115.38671875,3896.08798906116
15,2025/07/10,00155.,A,AL,1R8,BAY MINETTE MUNI,BAY MINETTE,US,PU,PU,08/26,30.86976738,-87.82806072,30.87088183,-87.8105805,5500,79,ASPH,GOOD,GRVD,,,,,,MED,3RD PARTY SURVEY,2008/11/16,28,,,,54961.2265625,3958.83391732748
16,2025/07/10,00155.05,A,AL,96AL,BENT OAK,BAY MINETTE,US,PR,PR,18/36,30.82959905,-87.88940383,30.82577,-87.888951,1400,200,TURF,,NONE,,,,,,,OWNER,2024/02/22,,,,,35390.00390625,1139.7295523245
17,2025/07/10,00155.31,A,AL,5R7,ROY E RAY,BAYOU LA BATRE,US,PR,PU,18/36,30.45799725,-88.21124025,30.45249791,-88.21112497,2000,150,TURF,GOOD,NONE,,,,,,,,,,,,,37639.763671875,1526.55502316244
18,2025/07/10,00157.1,A,AL,EKY,BESSEMER NTL,BESSEMER,US,PU,PU,05/23,33.30728502,-86.933812,33.31793675,-86.91879197,6007,100,ASPH,GOOD,GRVD,,,,,,HIGH,3RD PARTY SURVEY,2008/11/04,60,60,,,80120.58984375,4458.91340279931
19,2025/07/10,00164.,A,AL,BHM,BIRMINGHAM-SHUTTLESWORTH INTL,BIRMINGHAM,US,PU,PU,06/24,33.55477952,-86.77156908,33.57348041,-86.73909686,12007,150,ASPH,GOOD,GRVD,,,,,,HIGH,3RD PARTY SURVEY,2015/07/02,120,250,485,992,241615.4765625,8898.2254124032
20,2025/07/10,00164.,A,AL,BHM,BIRMINGHAM-SHUTTLESWORTH INTL,BIRMINGHAM,US,PU,PU,18/36,33.57321347,-86.74719025,33.55370516,-86.74720019,7099,150,ASPH,GOOD,GRVD,,,,,,MED,3RD PARTY SURVEY,2015/07/02,105,143,197,,142849.12109375,5321.96777983095
21,2025/07/10,00186.,A,AL,12J,BREWTON MUNI,BREWTON,US,PU,PU,06/24,31.0499743,-87.07578419,31.05640886,-87.06118605,5136,150,ASPH,FAIR,NONE,,,,,,,3RD PARTY SURVEY,2008/11/06,40,60,,,97827.1484375,3762.14034391534
22,2025/07/10,00186.,A,AL,12J,BREWTON MUNI,BREWTON,US,PU,PU,12/30,31.05158766,-87.0729395,31.0447405,-87.05909119,5001,150,ASPH,POOR,NONE,,,,,,MED,3RD PARTY SURVEY,2020/03/20,40,60,,,95252.8359375,3666.82346164526
23,2025/07/10,00199.1,A,AL,09A,BUTLER/CHOCTAW COUNTY,BUTLER,US,PU,PU,12/30,32.12173947,-88.1334035,32.11688138,-88.12152111,4082,80,ASPH,POOR,NONE,,,,,,MED,3RD PARTY SURVEY,2014/11/25,15,,,,42413.4609375,2995.34966479579
24,2025/07/10,00207.1,A,AL,61A,CAMDEN MUNI,CAMDEN,US,PU,PU,18/36,31.98566105,-87.33921169,31.97383511,-87.33902047,4303,80,ASPH,FAIR,AFSC,,,,,,MED,3RD PARTY SURVEY,2015/01/29,27,,,,44577.31640625,3161.7230501026
25,2025/07/10,00218.12,A,AL,PYP,CENTRE PIEDMONT/CHEROKEE COUNTY RGNL,CENTRE,US,PU,PU,07/25,34.08648733,-85.61816425,34.09335086,-85.6019815,5500,100,ASPH,GOOD,AFSC,,,,,,MED,3RD PARTY SURVEY,2009/12/08,,,,,74685.1171875,4121.7145199245
26,2025/07/10,00218.7,A,AL,0A8,BIBB COUNTY,CENTREVILLE,US,PU,PU,10/28,32.93744166,-87.097375,32.93643611,-87.08371944,4206,80,ASPH,EXCELLENT,AFSC,,,,,,MED,FAA,2009/05/20,18,,,,44500.125,3110.26357056384
27,2025/07/10,00226.5,A,AL,5R1,ROY WILCOX,CHATOM,US,PU,PU,12/30,31.45444836,-88.19996172,31.44888541,-88.18889152,4002,80,ASPH,FAIR,NONE,,,,,,MED,ARPTS CONTRACTOR,2013/06/05,15,,,,40992.8359375,2917.80516679992
28,2025/07/10,00233.,A,AL,02A,CHILTON COUNTY,CLANTON,US,PU,PU,08/26,32.84937308,-86.61782066,32.85159583,-86.60504425,4007,100,ASPH,GOOD,NONE,,,,,,MED,3RD PARTY SURVEY,2015/01/15,16,,,,52885.56640625,2977.70463499957
29,2025/07/10,00234.,A,AL,11A,CLAYTON MUNI,CLAYTON,US,PU,PU,10/28,31.88412183,-85.49323733,31.88252663,-85.47721211,5010,80,ASPH,EXCELLENT,AFSC,,,,,,HIGH,3RD PARTY SURVEY,2008/10/30,,,,,51777.7265625,3649.92594546323
30,2025/07/10,00239.25,A,AL,9AL6,FLYING HOG FARM,COLUMBIA,US,PR,PR,09/27,31.235942,-85.145668,31.23627197,-85.1377428,2480,50,TURF,,NONE,,,,,,,OWNER,2024/06/12,,,,,15806.474609375,1802.33977871396
31,2025/07/10,00245.,A,AL,9A4,COURTLAND,COURTLAND,US,PU,PU,13/31,34.66150075,-87.35372416,34.65268608,-87.34099897,4994,100,CONC,POOR,NONE,,,,,,HIGH,3RD PARTY SURVEY,2009/12/01,,,,,68731.609375,3778.09551491531
32,2025/07/10,00245.,A,AL,9A4,COURTLAND,COURTLAND,US,PU,PU,18/36,34.66445277,-87.35078055,34.65491666,-87.34976666,3484,150,CONC,POOR,NONE,,,,,,,3RD PARTY SURVEY,2009/12/01,,,,,71933.29296875,2702.05199816988
33,2025/07/10,00246.,A,AL,15A,MARK REYNOLDS/NORTH MOBILE COUNTY,CREOLA,US,PR,PU,03/21,30.90696286,-87.99829569,30.9112968,-87.99436866,2000,180,TURF,GOOD,NONE,,,,,,NSTD,,,,,,,45589.97265625,1552.51368642387
34,2025/07/10,00248.3,A,AL,CMD,CULLMAN RGNL/FOLSOM FLD,CULLMAN,US,PU,PU,02/20,34.26145794,-86.86062197,34.27594711,-86.85544791,5500,100,ASPH,EXCELLENT,GRVD,,,,,,MED,3RD PARTY SURVEY,2022/08/25,61,78,130,,75002.4296875,4143.61504002648
35,2025/07/10,00250.1,A,AL,4R9,JEREMIAH DENTON,DAUPHIN ISLAND,US,PU,PU,12/30,30.26274866,-88.13144522,30.25821447,-88.12350097,3000,80,ASPH,FAIR,NONE,,,,,,MED,3RD PARTY SURVEY,2021/05/17,30,,,,30003.326171875,2176.57419084857
36,2025/07/10,00250.22,A,AL,AL47,BELFOREST FIELD,DAPHNE,US,PR,PR,09/27,30.59498333,-87.82377777,30.59491666,-87.81805833,1800,60,TURF,,NONE,,,,,,,OWNER,2024/06/12,,,,,13583.787109375,1316.15348695347
37,2025/07/10,00251.,A,AL,DCU,PRYOR FLD RGNL,DECATUR,US,PU,PU,18/36,34.66243888,-86.94516388,34.64566388,-86.94556111,6107,100,ASPH,FAIR,GRVD,35,F,B,X,T,HIGH,STATE,2006/01/12,75,125,150,,84039.8046875,4615.0864691562
38,2025/07/10,00254.,A,AL,DYA,DEMOPOLIS RGNL,DEMOPOLIS,US,PU,PU,04/22,32.45877761,-87.95956008,32.46887002,-87.94854655,5002,100,ASPH,FAIR,NONE,,,,,,MED,3RD PARTY SURVEY,2010/01/10,30,38,60,,65468.71875,3692.39134154933
39,2025/07/10,00267.,A,AL,DHN,DOTHAN RGNL,DOTHAN,US,PU,PU,14/32,31.33058922,-85.46164577,31.31408238,-85.44238308,8499,150,ASPH,GOOD,GRVD,,,,,,HIGH,3RD PARTY SURVEY,2012/06/30,75,105,190,,162807.30859375,6181.75076352003
40,2025/07/10,00267.,A,AL,DHN,DOTHAN RGNL,DOTHAN,US,PU,PU,18/36,31.32654147,-85.44556005,31.31142672,-85.44555755,5498,100,ASPH,EXCELLENT,GRVD,,,,,,HIGH,3RD PARTY SURVEY,2012/06/30,75,105,190,,70208.0625,4010.4073400447
41,2025/07/10,00267.6,A,AL,14J,CARL FOLSOM,ELBA,US,PU,PU,01/19,31.40599166,-86.09165277,31.414075,-86.08905833,3050,75,ASPH,FAIR,NONE,,,,,,MED,OWNER,2009/08/24,4,,,,29264.35546875,2239.89522967881
42,2025/07/10,00287.1,A,AL,EDN,ENTERPRISE MUNI,ENTERPRISE,US,PU,PU,05/23,31.29540769,-85.90624311,31.30402644,-85.89344722,5080,100,ASPH,GOOD,NONE,,,,,,MED,3RD PARTY SURVEY,2007/07/25,,,,,64838.544921875,3699.06094565806
43,2025/07/10,00290.,A,AL,EUF,WEEDON FLD,EUFAULA,US,PU,PU,18/36,31.95817716,-85.12841941,31.9444598,-85.1294373,5000,100,ASPH,GOOD,NONE,11,F,A,X,T,MED,,,,,,,64716.59765625,3678.23000231686
44,2025/07/10,00293.,A,AL,3A7,EUTAW MUNI,EUTAW,US,PU,PU,16/34,32.82509325,-87.86698738,32.81573625,-87.86316952,3600,80,ASPH,POOR,NONE,,,,,,MED,,,,,,,38001.20703125,2678.62118683487
45,2025/07/10,00296.,A,AL,GZH,EVERGREEN RGNL/MIDDLETON FLD,EVERGREEN,US,PU,PU,01/19,31.40652247,-87.04776944,31.42022747,-87.04627513,5005,150,ASPH,FAIR,NONE,,,,,,MED,ADO,2012/01/17,,,,,96098.78125,3697.7998076804
46,2025/07/10,00296.,A,AL,GZH,EVERGREEN RGNL/MIDDLETON FLD,EVERGREEN,US,PU,PU,10/28,31.41775127,-87.04759722,31.41547786,-87.03177769,5004,150,ASPH,GOOD,NONE,,,,,,MED,ADO,2013/03/25,30,50,,,96042.5625,3679.19441942414
47,2025/07/10,00300.3,A,AL,CQF,H L SONNY CALLAHAN,FAIRHOPE,US,PU,PU,01/19,30.45155255,-87.87873875,30.46946719,-87.87532458,6604,100,ASPH,FAIR,GRVD,,,,,,HIGH,3RD PARTY SURVEY,2007/12/15,36,58,,,82845.287109375,4759.83030769043
48,2025/07/10,00302.,A,AL,M95,RICHARD ARTHUR FLD,FAYETTE,US,PU,PU,01/19,33.70223022,-87.81558138,33.71598155,-87.81483594,5009,80,ASPH,GOOD,GRVD,10,F,C,X,T,MED,STATE,2017/12/10,15,,,,53940.12890625,3742.68467833814
49,2025/07/10,00308.5,A,AL,0J4,FLORALA MUNI,FLORALA,US,PU,PU,04/22,31.03899166,-86.314675,31.04595555,-86.30844722,3197,75,ASPH,GOOD,NONE,,,,,,MED,,,,,,,30441.537109375,2333.13717320089
50,2025/07/10,00323.3,A,AL,5R4,HOLK FLD AT FOLEY MUNI,FOLEY,US,PU,PU,18/36,30.43276286,-87.70095888,30.42259108,-87.70096702,3700,74,ASPH,GOOD,NONE,,,,,,MED,3RD PARTY SURVEY,2014/12/02,28,,,,34320.841796875,2678.63823803151
51,2025/07/10,00323.4,A,AL,NBJ,BARIN NOLF,FOLEY,US,MN,PR,09/27,30.38863213,-87.64152883,30.38843016,-87.62567172,5000,150,ASPH,,NONE,18,F,B,W,T,,MILITARY,2018/11/14,,,,,93957.7578125,3637.23929937681
52,2025/07/10,00323.4,A,AL,NBJ,BARIN NOLF,FOLEY,US,MN,PR,15/33,30.39809658,-87.63338827,30.38609658,-87.6256515,5000,150,ASPH,,NONE,18,F,A,W,T,,MILITARY,2018/11/14,,,,,93954.39453125,3650.08176547454
53,2025/07/10,00326.,A,AL,67A,FORT DEPOSIT-LOWNDES COUNTY,FORT DEPOSIT,US,PU,PU,15/33,31.9764,-86.5949,31.96781666,-86.58911666,3593,78,ASPH,POOR,NONE,,,,,,MED,,,15,,,,36369.0234375,2650.79222944759
54,2025/07/10,00328.1,A,AL,4A9,ISBELL FLD,FORT PAYNE,US,PU,PU,04/22,34.46840333,-85.72668377,34.47899166,-85.71611491,5001,100,ASPH,GOOD,GRVD,,,,,,MED,NACO,2002/08/07,16,,,,68512.734375,3777.22379089415
55,2025/07/10,00329.,A,AL,OZR,CAIRNS AAF (FORT NOVOSEL),FORT NOVOSEL (OZARK),US,MR,PR,06/24,31.27061027,-85.72036527,31.27672277,-85.70767166,4546,150,ASPH,,NONE,44,F,A,W,T,HIGH,MILITARY,2005/04/30,,,,,87004.751953125,3351.05527276835
56,2025/07/10,00329.,A,AL,OZR,CAIRNS AAF (FORT NOVOSEL),FORT NOVOSEL (OZARK),US,MR,PR,18/36,31.2845925,-85.71261194,31.27078,-85.71288166,5025,150,ASPH,,NONE,35,F,A,W,T,MED,MILITARY,2005/04/30,,,,,96168.322265625,3705.54723583586
57,2025/07/10,00333.,A,AL,GAD,NORTHEAST ALABAMA RGNL,GADSDEN,US,PU,PU,06/24,33.96583855,-86.10107622,33.97497133,-86.08150011,6802,150,ASPH,FAIR,GRVD,,,,,,HIGH,3RD PARTY SURVEY,2005/09/27,90,115,195,,138182.90234375,5111.21648453206
58,2025/07/10,00344.1,A,AL,33J,GENEVA MUNI,GENEVA,US,PU,PU,11/29,31.05426388,-85.87503611,31.05098611,-85.86285,3998,100,ASPH,GOOD,NONE,,,,,,MED,ARPTS CONTRACTOR,2012/10/25,30,75,,,50769.873046875,2915.09973130946
59,2025/07/10,00350.1,A,AL,7A0,GREENSBORO MUNI,GREENSBORO,US,PU,PU,18/36,32.68635861,-87.66205236,32.67672213,-87.66208586,3506,79,ASPH,FAIR,NONE,,,,,,MED,3RD PARTY SURVEY,2019/09/11,16,,,,36426.0703125,2606.17406118573
60,2025/07/10,00353.1,A,AL,PRN,MAC CRENSHAW MEML,GREENVILLE,US,PU,PU,14/32,31.85145641,-86.61647094,31.83992922,-86.60500719,5501,80,ASPH,GOOD,GRVD,,,,,,MED,3RD PARTY SURVEY,2007/07/10,15,,,,56825.28515625,4012.42008680346
61,2025/07/10,00359.7,A,AL,JKA,GULF SHORES INTL/JACK EDWARDS FLD,GULF SHORES,US,PU,PU,09/27,30.29028425,-87.68024391,30.2903205,-87.65818566,6962,100,ASPH,GOOD,GRVD,30,F,B,X,T,HIGH,NACO,2003/09/30,80,100,,,87038.80078125,4981.92782730093
62,2025/07/10,00359.7,A,AL,JKA,GULF SHORES INTL/JACK EDWARDS FLD,GULF SHORES,US,PU,PU,17/35,30.29325525,-87.67723547,30.28340344,-87.67626211,3596,75,ASPH,GOOD,NONE,23,F,B,X,T,MED,3RD PARTY SURVEY,2006/04/26,80,100,,,33718.056640625,2602.26077050977
63,2025/07/10,00360.,A,AL,8A1,GUNTERSVILLE MUNI/JOE STARNES FLD,GUNTERSVILLE,US,PU,PU,06W/24W,34.40583333,-86.26666666,34.41222222,-86.25013888,5500,200,WATER,,NONE,,,,,,,OWNER,2016/03/31,,,,,150531.4609375,4211.78062056851
64,2025/07/10,00360.,A,AL,8A1,GUNTERSVILLE MUNI/JOE STARNES FLD,GUNTERSVILLE,US,PU,PU,07/25,34.40019019,-86.2711155,34.40594952,-86.25604813,5005,75,ASPH,GOOD,GRVD,,,,,,MED,3RD PARTY SURVEY,2015/11/22,24,,,,51354.9140625,3752.64561603416
65,2025/07/10,00363.,A,AL,1M4,POSEY FLD,HALEYVILLE,US,PU,PU,18/36,34.28720183,-87.60018502,34.27344775,-87.60067208,5008,100,ASPH,EXCELLENT,NONE,,,,,,MED,3RD PARTY SURVEY,2008/08/07,20,,,,68308.91796875,3781.23136562422
66,2025/07/10,00366.1,A,AL,HAB,MARION COUNTY-RANKIN FITE,HAMILTON,US,PU,PU,18/36,34.12448647,-87.99791641,34.10939619,-87.99851116,5495,100,ASPH,GOOD,NONE,,,,,,MED,3RD PARTY SURVEY,2008/10/09,15,,,,74663.67578125,4133.8219993768
67,2025/07/10,00374.1,A,AL,5M0,HARTSELLE/MORGAN COUNTY RGNL,HARTSELLE,US,PU,PU,18/36,34.41316594,-86.93287219,34.40327783,-86.93301727,3599,75,ASPH,FAIR,NONE,,,,,,MED,3RD PARTY SURVEY,2011/06/29,20,,,,36930.640625,2723.906623408
68,2025/07/10,00375.5,A,AL,M38,HAZEL GREEN,HAZEL GREEN,US,PR,PU,07/25,34.91501666,-86.65128611,34.91724722,-86.64280555,2670,40,ASPH,GOOD,NONE,,,,,,LOW,OWNER,2007/07/02,10,,,,14785.34375,2012.68286601021
69,2025/07/10,00376.,A,AL,HDL,HEADLAND MUNI,HEADLAND,US,PU,PU,09/27,31.36385691,-85.3190763,31.36363655,-85.30306186,5002,80,ASPH,FAIR,NONE,,,,,,MED,OWNER,2006/06/28,12,,,,51119.03125,3623.24361976409
70,2025/07/10,00376.,A,AL,HDL,HEADLAND MUNI,HEADLAND,US,PU,PU,17/35,31.3687365,-85.31548136,31.36089569,-85.31461175,2865,162,TURF,GOOD,NONE,,,,,,,3RD PARTY SURVEY,2010/01/27,,,,,59325.58984375,2169.12318986852
71,2025/07/10,00378.,A,AL,6AL0,FLYING TIGERS WINERY & RESORT,HEFLIN,US,PR,PR,09/27,33.627222,-85.43257994,33.62722222,-85.42666666,1800,60,TURF,,NONE,,,,,,,OWNER,2024/07/19,,,,,14510.359375,1360.61340137587
72,2025/07/10,00385.1,A,AL,HSV,HUNTSVILLE INTL-CARL T JONES FLD,HUNTSVILLE,US,PU,PU,18L/36R,34.65309847,-86.76546475,34.62562486,-86.76601719,10001,150,ASPH,FAIR,GRVD,,,,,,HIGH,3RD PARTY SURVEY,2017/03/09,120,247,435,972,206372.56640625,7546.52650191748
73,2025/07/10,00385.1,A,AL,HSV,HUNTSVILLE INTL-CARL T JONES FLD,HUNTSVILLE,US,PU,PU,18R/36L,34.6527855,-86.78210047,34.618171,-86.78279083,12600,150,ASPH-CONC,EXCELLENT,GRVD,,,,,,HIGH,3RD PARTY SURVEY,2017/03/09,120,250,550,1114,259987.84375,9478.68504024001
74,2025/07/10,00385.2,A,AL,3M5,MOONTOWN,HUNTSVILLE,US,PR,PU,09/27,34.74742097,-86.46459552,34.74731786,-86.45733822,2180,160,TURF,GOOD,NONE,,,,,,LOW,,,,,,,48122.23046875,1735.11381023583
75,2025/07/10,00385.3,A,AL,4AL8,MILTON,HUNTSVILLE,US,PR,PR,13/31,34.4926,-86.6762,34.48848333,-86.67066666,2242,200,TURF,,NONE,,,,,,,,,,,,,61461.08984375,1807.71927486428
76,2025/07/10,00385.4,A,AL,MDQ,HUNTSVILLE EXEC TOM SHARP JR FLD,HUNTSVILLE,US,PU,PU,18/36,34.86828027,-86.55733777,34.85042405,-86.55768977,6500,100,ASPH,FAIR,GRVD,,,,,,MED,3RD PARTY SURVEY,2021/01/27,92,139,208,,89895.9765625,4919.70897452531
77,2025/07/10,00387.,A,AL,AL05,SEHOY,HURTSBORO,US,PR,PR,04/22,32.216062,-85.476956,32.22661,-85.46661,5000,75,ASPH,GOOD,NONE,,,,,,MED,FAA-EST IMAGERY,2012/07/10,,,,,48784.51171875,3661.2268316935
78,2025/07/10,00387.01,A,AL,38AL,SAWTOOTH PLANTATION,HURTSBORO,US,PR,PR,04/22,32.16527777,-85.40666666,32.17138888,-85.40083333,2863,100,TURF,,NONE,,,,,,,ADO,2023/02/22,,,,,37239.3984375,2138.51900716628
79,2025/07/10,00394.1,A,AL,4R3,JACKSON MUNI,JACKSON,US,PU,PU,01/19,31.46376388,-87.89712777,31.47735555,-87.894675,5003,80,ASPH,EXCELLENT,NONE,,,,,,MED,NACO,2003/08/04,25,,,,51272.26953125,3646.81440303762
80,2025/07/10,00401.3,A,AL,JFX,WALKER COUNTY/BEVILL FLD,JASPER,US,PU,PU,09/27,33.90220919,-87.32207875,33.9017625,-87.30559725,5004,100,ASPH,FAIR,NONE,,,,,,MED,NGS,2009/11/18,50,,,,67654.67578125,3745.09083958181
81,2025/07/10,00410.1,A,AL,7A3,LANETT RGNL,LANETT,US,PU,PU,06/24,32.80731733,-85.23644877,32.81636869,-85.22252333,5400,75,CONC,GOOD,NONE,,,,,,MED,3RD PARTY SURVEY,2022/10/26,,,,,53408.59375,3973.8534415364
82,2025/07/10,00425.1,A,AL,04A,FRANK SIKES,LUVERNE,US,PU,PU,04/22,31.73172988,-86.26757272,31.741044,-86.25733652,4649,80,ASPH,FAIR,NONE,,,,,,NSTD,,,15,,,,47909.0703125,3394.91255761799
83,2025/07/10,00428.21,A,AL,A08,VAIDEN FLD,MARION,US,PU,PU,16/34,32.51892016,-87.38782802,32.50210127,-87.38175161,6400,80,ASPH,FAIR,NONE,,,,,,MED,3RD PARTY SURVEY,2011/07/25,30,50,,,67073.12890625,4699.69074160382
84,2025/07/10,00430.,A,AL,AL09,CLOUDMONT AIRPARK,MENTONE,US,PR,PR,18/36,34.544225,-85.59235555,34.53748888,-85.59223055,2450,80,TURF,,NONE,,,,,,,,,,,,,26922.1171875,1880.01951618957
85,2025/07/10,00433.5,A,AL,28AL,FOSHEE,MILLBROOK,US,PR,PR,08/26,32.43275,-86.37695833,32.43369444,-86.37222222,1500,50,TURF,FAIR,NONE,,,,,,,OWNER,2021/03/18,,,,,9816.94140625,1119.71611678402
86,2025/07/10,00437.,A,AL,BFM,MOBILE INTL,MOBILE,US,PU,PU,14/32,30.63307836,-88.07994005,30.61319825,-88.05978008,9618,150,ASPH-CONC,GOOD,GRVD,72,F,B,X,T,HIGH,3RD PARTY SURVEY,2019/06/05,75,185,325,,181577.703125,6932.84007912265
87,2025/07/10,00437.,A,AL,BFM,MOBILE INTL,MOBILE,US,PU,PU,18/36,30.64199358,-88.06591683,30.62054825,-88.06590433,7800,150,ASPH-CONC,FAIR,NONE,34,R,B,X,T,MED,3RD PARTY SURVEY,2019/06/05,76,150,320,,147288.203125,5655.00411154967
88,2025/07/10,00438.,A,AL,MOB,MOBILE RGNL,MOBILE,US,PU,PU,15/33,30.7022888,-88.25398588,30.68332916,-88.23816591,8502,150,ASPH,GOOD,GRVD,55,F,D,W,U,HIGH,NGS,2006/03/03,75,162,270,550,160743.921875,6148.09447941225
89,2025/07/10,00438.,A,AL,MOB,MOBILE RGNL,MOBILE,US,PU,PU,18/36,30.69474069,-88.23651797,30.68271036,-88.2365145,4376,150,ASPH,GOOD,GRVD,14,F,D,W,U,MED,NGS,2006/03/03,47,60,96,,82723.3203125,3220.85259908587
90,2025/07/10,00440.2,A,AL,MVC,MONROE COUNTY AEROPLEX,MONROEVILLE,US,PU,PU,03/21,31.45084461,-87.35581991,31.46524447,-87.34625502,6028,100,ASPH,FAIR,NONE,,,,,,MED,NGS,2007/07/03,70,,,,77197.87890625,4391.22424308982
91,2025/07/10,00446.,A,AL,MXF,MAXWELL AFB,MONTGOMERY,US,MA,PR,009/189,32.38140833,-86.36388055,32.38965833,-86.36478888,3015,60,ASPH,,NONE,56,R,B,W,T,,MILITARY,2006/06/16,,,,,23632.0546875,2227.7300029457
92,2025/07/10,00446.,A,AL,MXF,MAXWELL AFB,MONTGOMERY,US,MA,PR,15/33,32.39134722,-86.3731,32.37258611,-86.35953333,8008,150,ASPH,,NONE,66,R,B,W,T,HIGH,MILITARY,2006/01/03,,,,,156933.25390625,5903.74750087
93,2025/07/10,00447.,A,AL,MGM,MONTGOMERY RGNL (DANNELLY FLD),MONTGOMERY,US,PU,PU,03/21,32.29499166,-86.39413919,32.30424066,-86.38707452,4011,150,ASPH,FAIR,NONE,28,F,C,X,T,MED,3RD PARTY SURVEY,2011/06/23,40,95,,,78460.12890625,3008.00936046037
